Id_var: 0x65002402 (dev_id: 6 var_id: 5 offs:1152 rtr:1-rd ); len:   0; data:
Id_var: 0x65002404 (dev_id: 6 var_id: 5 offs:1152 rtr:0-wr ); len: 128; data: F10F 8960 0200 4201 0000 0700 0200 0100 0000 0000 0000 0000 0000 0000 0000 0201 0100 0F0F 1D00 0000 0000 0301 5007 7F0D 1D00 0000 0000 0401 5007 7005 1E00 0000 0000 0501 0200 0F0F 2B00 0010 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 75DB
Id_var: 0x65002802 (dev_id: 6 var_id: 5 offs:1280 rtr:1-rd ); len:   0; data:
Id_var: 0x65002804 (dev_id: 6 var_id: 5 offs:1280 rtr:0-wr ); len: 128; data: 0000 0000 0000 0000 0100 0000 E0BE E0BE F0FF 80A0 F0FF 00A1 F0FF 80A1 F0FF 00A2 F0FF 80A2 F0FF 00A3 F0FF 80A3 F0FF 00A4 F0FF 80A4 F0FF 00A5 F0FF 80A5 F0FF 00A6 F0FF 80A6 F0FF 00A7 F0FF 80A7 F0FF 00A8 F0FF 80A8 F0FF 00A9 F0FF 80A9 F0FF 00AA F0FF 80AA F0FF 00AB F0FF 80AB F0FF 00AC F0FF 80AC F0FF 00AD F0FF 80AD F0FF 0000
Id_var: 0x65002C02 (dev_id: 6 var_id: 5 offs:1408 rtr:1-rd ); len:   0; data:
Id_var: 0x65002C04 (dev_id: 6 var_id: 5 offs:1408 rtr:0-wr ); len: 128; data: F10F 8961 0200 0100 00AE F0FF 80AE F0FF 00AF F0FF 80AF F0FF 00B0 F0FF 80B0 F0FF 00B1 F0FF 80B1 F0FF 00B2 F0FF 80B2 F0FF 00B3 F0FF 80B3 F0FF 00B4 F0FF 80B4 F0FF 00B5 F0FF 80B5 F0FF 00B6 F0FF 80B6 F0FF 00B7 F0FF 80B7 F0FF 00B8 F0FF 80B8 F0FF 00B9 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 BE01
Id_var: 0x65003002 (dev_id: 6 var_id: 5 offs:1536 rtr:1-rd ); len:   0; data:
Id_var: 0x65003004 (dev_id: 6 var_id: 5 offs:1536 rtr:0-wr ); len: 128; data: F10F 8961 0200 0200 0000 0000 0000 0000 AFBE ADDE F0FF 80B0 F0FF 00B1 F0FF 80B1 F0FF 00B2 F0FF 80B2 F0FF 00B3 F0FF 80B3 F0FF 00B4 F0FF 80B4 F0FF 00B5 F0FF 80B5 F0FF 00B6 F0FF 80B6 F0FF 00B7 F0FF 80B7 F0FF 00B8 F0FF 80B8 F0FF 00B9 F0FF 80B9 F0FF 00BA F0FF 80BA F0FF 00BB F0FF 80BB F0FF 00BC F0FF 80BC F0FF 00BD F0FF 7BD7
Id_var: 0x65003402 (dev_id: 6 var_id: 5 offs:1664 rtr:1-rd ); len:   0; data:
Id_var: 0x65003404 (dev_id: 6 var_id: 5 offs:1664 rtr:0-wr ); len: 128; data: F10F 8961 0200 0300 80BD F0FF 00BE F0FF 80BE F0FF 00BF F0FF 80BF F0FF 00B0 F0FF 80B0 F0FF 00B1 F0FF 80B1 F0FF 00B2 F0FF 80B2 F0FF 00B3 F0FF 80B3 F0FF 00B4 F0FF 80B4 F0FF 00B5 F0FF 80B5 F0FF 00B6 F0FF 80B6 F0FF 00B7 F0FF 80B7 F0FF 00B8 F0FF 80B8 F0FF 00B9 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 363E
Id_var: 0x65003802 (dev_id: 6 var_id: 5 offs:1792 rtr:1-rd ); len:   0; data:
Id_var: 0x65003804 (dev_id: 6 var_id: 5 offs:1792 rtr:0-wr ); len: 128; data: F10F 8961 0200 0400 0000 0000 0000 0000 0000 0000 E0BE D0BA F0FF 80C0 F0FF 00C1 F0FF 80C1 F0FF 00C2 F0FF 80C2 F0FF 00C3 F0FF 80C3 F0FF 00C4 F0FF 80C4 F0FF 00C5 F0FF 80C5 F0FF 00C6 F0FF 80C6 F0FF 00C7 F0FF 80C7 F0FF 00C8 F0FF 80C8 F0FF 00C9 F0FF 80C9 F0FF 00CA F0FF 80CA F0FF 00CB F0FF 80CB F0FF 00CC F0FF 80CC F0FF B355
Id_var: 0x65003C02 (dev_id: 6 var_id: 5 offs:1920 rtr:1-rd ); len:   0; data:
Id_var: 0x65003C04 (dev_id: 6 var_id: 5 offs:1920 rtr:0-wr ); len: 128; data: F10F 8961 0200 0500 00CD F0FF 80CD F0FF 00CE F0FF 80CE F0FF 00CF F0FF 80CF F0FF 00D0 F0FF 80D0 F0FF 00D1 F0FF 80D1 F0FF 00D2 F0FF 80D2 F0FF 00D3 F0FF 80D3 F0FF 00D4 F0FF 80D4 F0FF 00D5 F0FF 80D5 F0FF 00D6 F0FF 80D6 F0FF 00D7 F0FF 80D7 F0FF 00D8 F0FF 80D8 F0FF 00D9 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 F822
Id_var: 0x65004002 (dev_id: 6 var_id: 5 offs:2048 rtr:1-rd ); len:   0; data:
Id_var: 0x65004004 (dev_id: 6 var_id: 5 offs:2048 rtr:0-wr ); len: 128; data: F10F 8961 0200 0600 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 99B7
Id_var: 0x65004402 (dev_id: 6 var_id: 5 offs:2176 rtr:1-rd ); len:   0; data:
Id_var: 0x65004404 (dev_id: 6 var_id: 5 offs:2176 rtr:0-wr ); len: 128; data: 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
Id_var: 0x65004802 (dev_id: 6 var_id: 5 offs:2304 rtr:1-rd ); len:   0; data:
Id_var: 0x65004804 (dev_id: 6 var_id: 5 offs:2304 rtr:0-wr ); len: 128; data: 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
Id_var: 0x65004C02 (dev_id: 6 var_id: 5 offs:2432 rtr:1-rd ); len:   0; data:
Id_var: 0x65004C04 (dev_id: 6 var_id: 5 offs:2432 rtr:0-wr ); len: 128; data: 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
Id_var: 0x65005002 (dev_id: 6 var_id: 5 offs:2560 rtr:1-rd ); len:   0; data:
Id_var: 0x65005004 (dev_id: 6 var_id: 5 offs:2560 rtr:0-wr ); len: 128; data: 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
Id_var: 0x65005402 (dev_id: 6 var_id: 5 offs:2688 rtr:1-rd ); len:   0; data:
Id_var: 0x65005404 (dev_id: 6 var_id: 5 offs:2688 rtr:0-wr ); len: 128; data: 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
Id_var: 0x65005802 (dev_id: 6 var_id: 5 offs:2816 rtr:1-rd ); len:   0; data:
Id_var: 0x65005804 (dev_id: 6 var_id: 5 offs:2816 rtr:0-wr ); len: 128; data: 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
Id_var: 0x65005C02 (dev_id: 6 var_id: 5 offs:2944 rtr:1-rd ); len:   0; data:
Id_var: 0x65005C04 (dev_id: 6 var_id: 5 offs:2944 rtr:0-wr ); len: 128; data: 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
Id_var: 0x65006002 (dev_id: 6 var_id: 5 offs:3072 rtr:1-rd ); len:   0; data:
Id_var: 0x65006004 (dev_id: 6 var_id: 5 offs:3072 rtr:0-wr ); len: 128; data: 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
Id_var: 0x65006402 (dev_id: 6 var_id: 5 offs:3200 rtr:1-rd ); len:   0; data:
Id_var: 0x65006404 (dev_id: 6 var_id: 5 offs:3200 rtr:0-wr ); len: 128; data: 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
Id_var: 0x64000098 (dev_id: 6 var_id: 4 offs: 19 rtr:0-wr ); len:  -6; data:
